index,acc_x,acc_z,resp,pzt,eda,emg
734,606,544,320,553,24,33
735,608,544,321,564,24,33
736,608,544,322,567,24,33
737,607,543,323,577,24,32
738,607,543,325,578,24,33
739,608,544,326,584,24,33
740,607,545,327,583,24,33
741,607,544,329,587,24,33
742,607,543,329,584,24,33
743,608,544,331,586,24,33
744,608,545,332,583,24,33
745,607,544,334,587,24,33
746,607,543,335,581,24,33
747,608,544,336,583,24,33
748,608,544,337,577,24,33
749,608,544,339,579,24,33
750,607,543,340,573,24,33
751,608,544,342,575,24,33
752,608,544,344,569,24,33
753,608,544,344,572,24,33
754,607,543,346,564,24,33
755,608,543,349,568,24,33
756,608,545,350,564,24,33
757,608,544,351,570,24,33
758,607,544,353,569,24,33
759,608,543,355,577,24,33
760,608,544,357,576,24,33
761,608,545,358,586,24,33
762,607,543,360,588,24,32
763,608,544,362,599,24,33
764,608,545,364,601,24,33
765,608,545,367,613,24,33
766,607,544,368,615,24,33
767,608,543,370,623,24,33
768,607,544,373,621,24,33
769,608,545,375,625,24,33
770,608,544,376,624,24,33
771,608,544,378,628,24,33
772,607,544,381,624,24,33
773,608,545,383,628,24,34
774,607,544,384,626,24,33
775,608,543,385,635,24,35
776,607,545,388,639,24,32
777,609,545,388,651,24,33
778,607,544,390,653,24,33
779,608,543,391,664,24,33
780,607,544,393,665,24,33
781,608,545,395,675,24,34
782,607,544,397,675,24,33
783,608,544,399,685,24,33
784,608,544,401,686,24,32
785,607,544,402,695,24,32
786,606,544,403,692,24,33
787,608,544,405,696,24,33
788,607,544,407,689,24,33
789,608,545,408,685,24,33
790,608,544,409,670,24,33
791,607,543,412,656,24,33
792,607,544,412,625,24,33
793,607,545,414,594,24,32
794,607,544,415,542,24,33
795,608,543,417,491,24,33
796,608,543,417,423,24,33
797,608,543,419,364,24,33
798,606,545,421,294,24,32
799,608,544,422,229,24,33
800,607,543,422,152,24,33
801,609,545,423,83,24,33
802,606,543,423,12,24,33
803,608,544,423,0,24,33
804,606,543,424,0,24,33
805,608,545,424,0,24,33
806,607,544,424,0,24,33
807,607,542,425,0,24,33
808,608,544,425,0,24,33
809,606,544,425,0,24,33
810,609,546,426,0,24,33
811,606,543,426,0,24,33
812,608,543,426,0,24,32
813,608,545,426,0,24,33
814,607,544,426,0,24,33
815,608,544,426,0,24,33
816,606,543,426,0,24,32
817,608,544,426,0,24,33
818,607,544,427,0,24,33
819,608,544,428,0,24,33
820,608,545,428,0,24,33
821,606,544,428,0,24,33
822,608,545,428,0,24,33
823,608,544,429,0,24,33
824,606,544,429,0,24,33
825,607,544,430,0,24,33
826,607,545,430,0,24,33
827,608,544,430,0,24,33
828,607,543,431,0,24,33
829,608,544,431,60,24,33
830,608,544,432,100,24,33
831,608,544,432,138,24,33
832,607,543,432,159,24,33
833,607,544,432,177,24,33
834,608,545,433,178,24,33
835,607,545,433,178,24,33
836,606,543,433,165,24,33
837,607,544,434,157,24,33
838,608,545,434,139,24,33
839,609,544,435,127,24,33
840,607,544,435,106,24,33
841,607,543,435,97,24,33
842,608,545,435,81,24,33
843,608,543,435,76,24,33
844,607,543,435,65,24,33
845,607,544,436,64,24,33
846,608,545,436,61,24,33
847,608,544,436,71,24,33
848,606,543,437,80,24,33
849,608,544,436,106,24,33
850,608,545,437,130,24,33
851,608,545,437,169,24,33
852,607,543,438,205,24,33
853,607,543,438,250,24,33
854,608,545,439,288,24,33
855,608,546,439,332,24,33
856,606,543,439,364,24,33
857,607,543,439,400,24,33
858,608,545,440,423,24,32
859,608,545,440,451,24,32
860,606,543,440,466,24,33
861,607,543,441,484,24,33
862,608,544,440,492,24,33
863,608,544,441,504,24,33
864,606,544,441,504,24,33
865,607,544,441,508,24,33
866,608,545,441,504,24,33
867,609,545,441,507,24,33
868,606,543,442,502,24,32
869,607,543,442,506,24,33
870,608,544,443,499,24,33
871,608,545,443,503,24,33
872,607,544,443,497,24,33
873,607,543,444,499,24,33
874,608,544,444,495,24,32
875,609,544,445,498,24,33
876,607,544,445,496,24,33
877,607,543,446,499,24,33
878,607,543,447,497,24,33
879,608,544,448,502,24,33
880,607,544,448,498,24,33
881,607,543,450,504,24,33
882,608,545,452,503,24,33
883,609,545,453,509,24,33
884,607,544,455,508,24,33
885,607,543,456,512,24,33
886,608,544,458,510,24,32
887,608,545,459,516,24,33
888,607,544,460,512,24,33
889,607,543,461,516,24,33
890,608,544,462,513,24,33
891,608,545,463,519,24,33
892,607,544,463,517,24,33
893,606,543,464,521,24,33
894,608,544,464,516,24,33
895,608,544,464,520,24,33
896,607,544,463,517,24,33
897,606,543,462,521,24,33
898,607,544,459,519,24,33
899,608,545,457,526,24,33
900,607,544,454,524,24,33
901,607,543,452,527,24,33
902,608,544,448,524,24,33
903,608,544,446,528,24,33
904,607,544,444,527,24,33
905,607,543,441,532,24,33
906,607,544,440,529,24,33
907,609,545,437,533,24,33
908,607,544,434,530,24,33
909,607,544,432,532,24,33
910,607,543,428,528,24,33
911,609,545,426,532,24,33
912,607,544,423,528,24,33
913,607,543,420,531,24,33
914,607,543,418,528,24,33
915,609,545,416,535,24,33
916,608,545,414,533,24,33
917,606,543,412,538,24,33
918,607,544,410,535,24,33
919,608,545,408,540,24,33
920,607,545,406,537,24,33
921,606,543,404,542,24,33
922,607,544,403,539,24,33
923,608,544,400,541,24,33
924,607,544,399,538,24,33
925,606,543,396,543,24,33
926,607,543,395,541,24,33
927,609,544,392,552,24,33
928,608,544,390,557,24,33
929,607,543,386,573,24,33
930,607,543,383,581,24,33
931,608,544,379,600,24,33
932,608,545,375,611,24,33
933,607,544,371,632,24,33
934,607,543,368,649,24,33
935,609,544,365,675,24,33
936,608,545,363,695,24,33
937,606,544,359,720,24,33
938,607,544,357,737,24,33
939,608,544,354,761,24,33
940,608,544,352,778,24,33
941,608,544,349,801,24,33
942,606,544,345,816,24,33
943,607,544,341,835,24,33
944,608,545,337,846,24,33
945,607,543,334,858,24,33
946,607,543,329,856,24,33
947,608,543,327,853,24,33
948,607,544,322,836,24,32
949,607,545,319,819,24,33
950,607,543,316,784,24,33
951,608,543,312,747,24,33
952,608,544,309,701,24,33
953,608,544,306,657,24,33
954,607,544,304,603,24,33
955,608,543,303,555,24,33
956,608,544,301,499,24,33
957,608,544,299,455,24,33
958,607,544,298,410,24,33
959,607,542,299,380,24,33
960,608,545,300,346,24,33
961,608,545,298,324,24,33
962,607,543,298,300,24,33
963,608,543,298,291,24,33
964,608,544,297,280,24,33
965,608,545,297,284,24,33
966,607,543,295,286,24,33
967,608,543,295,302,24,33
968,608,545,295,320,24,32
969,607,545,292,359,24,33
970,607,544,290,412,24,33
971,607,544,289,506,24,33
972,607,545,288,629,24,33
973,608,545,286,788,24,33
974,607,543,285,956,24,33
975,607,543,285,970,24,33
976,607,544,284,970,24,33
977,608,544,284,970,24,33
978,607,543,285,970,24,33
979,608,543,286,970,24,33
980,608,545,289,970,24,33
981,608,545,292,970,24,33
982,606,544,297,970,24,33
983,607,543,299,970,24,33
984,608,544,302,970,24,33
985,608,544,305,970,24,33
986,606,544,311,970,24,33
987,607,543,314,970,24,33
988,607,544,320,970,24,33
989,608,545,324,970,24,33
