acc_x,acc_z,resp,pzt,eda,emg
511,614,202,528,4,40
512,614,202,528,4,27
510,614,199,529,5,36
510,614,198,528,4,30
511,614,197,524,5,38
512,614,194,519,4,30
511,614,193,513,5,42
510,614,192,507,4,32
510,615,189,500,5,34
511,615,186,495,4,27
511,614,183,490,5,39
510,614,180,486,4,26
510,614,177,481,5,35
511,614,174,478,4,13
511,614,175,474,5,47
511,614,172,471,4,26
511,614,174,467,5,35
510,614,175,467,4,30
511,614,176,465,5,40
511,614,176,464,4,30
511,615,178,463,5,37
512,614,178,464,4,30
511,615,177,465,5,33
510,614,178,463,4,24
511,614,179,462,5,29
511,614,177,460,4,27
511,614,176,457,5,34
510,614,177,458,4,30
511,614,177,458,5,37
512,614,177,458,4,28
510,615,175,458,5,30
510,614,173,460,4,31
511,614,173,462,5,34
511,614,173,464,4,30
511,614,171,465,5,34
510,614,169,466,4,29
511,614,167,467,5,35
511,614,166,467,4,36
511,614,163,465,5,34
510,614,160,461,4,31
511,615,156,459,5,35
512,614,155,459,4,30
511,614,150,457,5,35
510,614,149,458,4,29
511,615,144,457,5,36
512,615,142,459,4,31
511,615,139,463,5,35
511,614,134,471,4,36
511,614,130,482,5,35
511,614,125,500,4,30
511,614,120,523,4,35
510,615,115,551,4,31
510,615,107,579,5,35
511,615,103,607,4,30
510,615,97,634,4,36
510,614,93,659,4,30
511,614,88,682,4,36
511,614,82,698,4,30
511,614,79,707,4,39
510,614,76,711,4,34
511,614,73,711,4,35
510,615,71,707,4,30
510,615,67,701,4,36
510,615,64,694,4,34
511,615,64,683,5,35
511,614,62,668,4,30
511,614,61,653,5,36
511,614,60,639,4,31
511,614,60,625,5,37
511,615,59,611,4,29
511,614,60,599,4,35
511,614,59,587,4,31
510,615,57,574,5,35
511,614,58,561,4,30
511,614,58,550,5,36
510,614,58,540,4,30
510,615,61,531,4,36
511,614,62,524,4,32
511,614,63,519,5,35
511,614,69,515,4,29
511,614,71,514,5,36
511,614,76,515,4,30
511,614,75,518,5,36
510,614,75,524,4,30
511,615,74,531,5,36
511,614,74,537,4,29
511,614,71,544,5,36
511,615,73,547,4,31
511,614,73,550,5,35
511,614,75,552,4,30
511,615,81,552,5,36
511,614,87,550,4,30
511,614,94,546,5,36
511,614,101,539,4,30
511,614,110,533,5,36
510,614,119,526,4,30
511,614,127,519,5,35
512,614,135,512,4,30
511,615,145,506,5,35
511,614,154,500,4,30
511,614,163,495,5,36
512,614,171,490,4,30
511,614,179,486,5,36
510,615,185,482,4,30
511,614,194,478,5,36
510,614,201,474,4,30
510,615,209,472,5,36
511,615,216,471,4,30
511,615,223,468,5,36
511,615,231,467,4,30
510,615,236,467,5,36
510,614,244,467,4,30
511,615,248,467,5,36
511,614,255,466,4,30
511,614,259,467,5,35
511,614,266,466,4,30
511,614,268,466,5,36
511,614,271,466,4,30
510,615,276,465,5,36
510,614,276,465,4,30
511,614,279,464,5,36
511,614,282,464,4,30
511,615,281,463,5,36
510,614,280,462,4,30
511,614,279,460,5,36
511,614,279,462,4,30
511,614,277,466,5,36
511,614,275,474,4,30
511,614,274,488,5,36
512,614,272,507,4,30
511,615,271,532,5,36
511,614,269,563,4,30
511,614,268,596,5,36
512,614,267,632,4,30
511,615,264,667,5,36
510,614,264,699,4,30
511,614,264,727,4,36
511,614,261,750,4,30
511,614,260,763,4,36
511,613,260,772,4,30
511,614,261,774,4,36
511,615,259,768,4,29
511,615,259,760,5,36
511,614,259,746,4,30
511,615,260,730,5,36
511,614,259,711,4,30
510,614,258,694,4,36
510,614,258,676,4,30
510,615,256,660,4,36
511,614,256,645,4,30
511,615,257,630,4,36
511,614,258,615,4,30
510,614,259,600,4,35
512,614,257,585,4,30
510,615,257,571,5,36
511,614,257,559,4,30
510,615,256,549,5,36
512,614,256,540,4,30
511,614,256,531,5,36
510,614,255,527,4,30
510,615,256,524,5,36
511,614,254,524,4,30
511,614,254,527,5,36
510,615,252,531,4,30
510,614,251,537,5,36
511,614,251,542,4,30
511,614,249,548,5,36
511,614,248,552,4,30
511,615,246,556,5,36
512,614,245,558,4,30
511,614,243,559,5,36
510,614,240,557,4,30
511,615,240,553,5,36
511,614,239,548,4,30
510,614,240,539,5,36
511,615,241,531,4,30
511,615,243,522,5,36
511,614,241,513,4,30
510,614,239,505,5,35
509,614,237,497,4,30
510,614,235,489,5,36
512,614,232,482,4,29
511,614,230,477,5,36
511,614,229,471,4,36
511,614,227,467,5,33
511,614,227,465,4,31
510,615,228,465,5,36
511,614,230,465,4,31
511,614,231,466,5,38
512,614,236,467,4,41
510,615,239,467,5,35
510,614,243,465,4,33
511,614,246,464,5,40
510,614,249,463,4,29
511,614,255,464,5,42
511,614,256,463,4,40
511,614,259,463,5,42
511,613,263,462,4,31
511,614,267,462,5,21
511,615,268,461,4,63
511,614,270,460,5,42
511,614,275,462,4,25
510,614,275,463,5,40
510,615,279,466,4,19
510,615,280,476,5,46
511,614,281,492,4,37
510,615,283,515,5,44
511,614,283,545,4,35
510,615,284,582,5,39
511,614,282,623,4,17
511,614,279,665,5,36
511,614,274,708,4,27
511,614,268,746,5,29
511,614,265,780,4,38
510,614,261,808,5,25
510,613,257,829,4,37
511,615,253,842,4,33
511,614,249,847,4,37
510,614,248,844,5,31
510,615,242,838,4,33
511,614,240,828,4,30
511,613,235,815,4,25
511,614,231,799,5,19
511,614,228,781,4,40
511,614,226,764,4,30
512,614,222,747,4,24
510,615,221,728,5,28
510,614,218,711,4,26
511,614,214,692,5,35
511,614,212,675,4,38
510,615,210,656,5,30
510,614,206,638,4,30
511,614,206,619,5,35
511,615,204,600,4,30
511,614,202,584,5,35
511,614,199,569,4,30
511,614,199,557,5,35
512,614,198,547,4,32
511,614,198,543,5,41
510,614,196,541,4,29
511,614,197,542,5,33
511,614,197,545,4,29
511,614,195,550,5,37
510,615,196,554,4,27
510,614,194,559,5,33
511,614,196,562,4,29
511,614,196,564,5,36
511,614,197,566,4,30
510,614,197,566,5,40
511,614,198,563,4,29
